203,TO3,VIA MARTIRI XXX APRILE 30,TO,1140171,114017277,aslto3@cert.aslto3.piemonte.it,www.aslto3.piemonte.it,2704350012,1
321,ATS DELLA CITTA' METROPOLITANA DI MILANO,CORSO ITALIA 19,MI,02 85782001,02 85782009,direzionegenerale@ats-milano.it,www.asl.milano.it,9320520969,15
509,AZIENDA ULSS N. 9 SCALIGERA,VIA VALVERDE 42,VR,045 8075510,045 8075609,direzione.generale@aulss9.veneto.it,www.aulss9.veneto.it,2573090236,23
205,AS FRIULI OCCIDENTALE,VIA DELLA VECCHIA CERAMICA 1,PN,0434 369111,0434 523011,dg@aas5.sanita.fvg.it,www.ass6.sanita.fvg.it,1772890933,93
201,AZIENDA USL TOSCANA CENTRO,PIAZZA SANTA MARIA NUOVA 1,FI,556939222,556939223,direttore.generale@uslcentro.toscana.it,www.uslcentro.toscana.it,6593810481,48
111,LATINA,V.le PIERLUIGI NERVI Torre 2G snc,LT,0773 6553901,7736553919,direzionegenerale@ausl.latina.it,www.asl.latina.it,1684950593,59
202,A.S.P. CROTONE,VIA CORIGLIANO 1,KR,962924111,962924141,dirgen@asl5.it,www.asl5.crotone.it,1997410798,101
205,A.S.P. REGGIO CALABRIA,VIA SANT'ANNA II TRONCO 18/P,RC,96522931,965347202,dirgen@asl11.it,NULL,1367600804,80
206,ASP PALERMO,VIA G. CUSMANO 24,PA,091 6661111,091 6661111,sil@asl6.it,www.asl6.it,5841760829,82
207,ASP RAGUSA,P.ZZA IGEA 1,RG,932600111,932600111,sil@asl7.it,www.asl7.it,1426410880,88
204,TO4,Via Po 11,TO,119176666,119176322,direzione.generale@asl7.to.it,www.asl.ivrea.to.it,9736160012,1
101,AZIENDA U.S.L. VALLE D'AOSTA,VIA GUIDO REY 1,AO,0165 5431,0165 544587,protocollo@pec.ausl.vda.it,www.ausl.vda.it,177330073,7
323,ATS DELLA MONTAGNA,VIA N. SAURO 38,SO,0342 555722,0342 210976,direzione.generale@ats-montagna.it,www.ats-montagna.it,988200143,14
101,TRENTO,VIA DE GASPERI 79,TN,0461 364158,0461 364160,dirgen@apss.tn.it,www.apss.tn.it,1429410226,22
103,GENOVESE,VIA BERTANI 4,GE,1084911,108497625,direzione.generale@asl3.liguria.it,www.asl3.liguria.it,3399650104,10
104,CHIAVARESE,VIA G.B.GHIO 9,GE,185329111,185304795,asl4@asl4.liguria.it,www.asl4.liguria.it,1038700991,10
104,AZIENDA USL MODENA,VIA S.GIOVANNI DEL CANTONE 23,MO,059 435111,059 435604,urpmodena@ausl.mo.it,www.ausl.mo.it,2241850367,36
106,AZIENDA USL IMOLA,VIALE  AMENDOLA 2,BO,0542 604011,0542 604013,ausl@ausl.imola.bo.it,www.ausl.imola.bo.it,705271203,37
109,AZIENDA USL FERRARA,VIA A.CASSOLI 30,FE,0532 235111,0532 235602,urpferrara@ausl.fe.it,www.ausl.fe.it,1295960387,38
202,AUSL UMBRIA N. 2,VIALE BRAMANTE  37,TR,0744 204320,0744 303639,aslumbria2@postacert.umbria.it,www.aslumbria2.it,1499590550,55
205,ROMA 5,VIA TIBURTINA 22/A,RM,0774 3164069,0774 331809,direzionegenerale@aslromag.it,www.aslromag.it,4733471009,58
205,A.S.L. NAPOLI 2 NORD,VIA CORRADO ALVARO 8,NA,081 8552111,081 5249308,direzionestrategica@aslnapoli2nord.it,www.aslnapoli2nord.it,6321661214,63
204,A.S.P. VIBO VALENTIA,VIA DANTE ALIGHIERI 1,VV,9639621,963591021,dirgen@asl8.it,www.asl8vv.it,1997680796,102
204,ASP ENNA,VIALE DIAZ 23,EN,93545111,93545111,sil@asl4.it,www.asl4.it,1151150867,86
205,ASP MESSINA,VIA DEL VESPRO  289,ME,090 6991,090 6991,sil@asl5.it,www.asl5.it,3051870834,83
209,ASP DI TRAPANI,VIA MAZZINI 1,TP,923805111,923805111,office@astrapani.it,www.asltrapani.it,2363280815,81
201,AZIENDA PER LA TUTELA DELLA SALUTE,VIA MONTE GRAPPA 82,SS,792061907,792061907,protocollo.generale@pec.atssardegna.it,www.atssardegna.it,935650903,90
322,ATS DELL'INSUBRIA,VIA O. ROSSI 9,VA,0332 277451,0332 277448,direzionegenerale@ats-insubria.it,www.asl.como.it,3510140126,12
326,ATS DI BRESCIA,Viale Duca degli Abruzzi 15,BS,030 3838251,030 3838339,direzionegenerale@ats-brescia.it,www.ats-brescia.it,3775430980,17
505,AZIENDA ULSS N. 5 POLESANA,V.LE TRE MARTIRI 89,RO,0425 393646,0425 394618,direzione.generale@aulss5.veneto.it,www.aulss5.veneto.it,1013470297,29
206,ASU FRIULI CENTRALE,VIA POZZUOLO 330,UD,0432 806000,0432 806005,dg@asufc.sanita.fvg.it,www.asufc.sanita.fvg.it,2985660303,30
102,AZIENDA USL PARMA,STRADA DEL QUARTIERE 2/A,PR,0521 393111,0521 282393,filodiretto@ausl.pr.it,www.ausl.pr.it,1874230343,34
105,AZIENDA USL BOLOGNA,VIA CASTIGLIONE 29,BO,051 622 5111,051 658 4936,relazioni.cittadino@ausl.bo.it,www.ausl.bologna.it,2406911202,37
