Stato,Capitale,Lingua
Afghanistan,Kabul,Pashtu, Dari
Albania,Tirana,Albanese
Algeria,Algeri,Arabo
Andorra,Andorra la Vella,Catalano
Angola,Luanda,Portoghese
Antigua e Barbuda,Saint John's,Inglese
Arabia Saudita,RiyƒÅd,Arabo
Argentina,Buenos Aires,Spagnolo
Armenia,Erevan,Armeno
Australia,Canberra,Inglese
Austria,Vienna,Tedesco
Azerbaigian,Baku,Azero
Bahamas,Nassau,Inglese
Bahrein,Manama,Arabo
Bangladesh,Dacca,Bengalese
Barbados,Bridgetown,Inglese, Bajan, Hindi
Belgio,Bruxelles,Olandese, Francese, Tedesco
Belize,Belmopan,Inglese
Benin,Porto-Novo,Francese
Bhutan,Thimphu,Dzongkha
Bielorussia,Minsk,Bielorusso, Russo
Birmania,Naypyidaw,Birmano
Bolivia,Sucre (legislativa) - La Paz (governativa),Spagnolo
Bosnia ed Erzegovina,Sarajevo,Bosniaco, Serbo, Croato
Botswana,Gaborone,Inglese
Brasile,Brasilia,Portoghese
Brunei,Bandar Seri Begawan,Malese, Inglese
Bulgaria,Sofia,Bulgaro
Burkina Faso,Ouagadougou,Francese
Burundi,Gitega,Kirundi, Francese
Cambogia,Phnom Penh,Khmer
Camerun,Yaound‡©,Francese, Inglese
Canada,Ottawa,Inglese,Francese
Capo Verde,Praia,Portoghese
Ciad,N'Djamena,Arabo, Francese
Cile,Santiago del Cile,Spagnolo
Cina,Pechino,Cinese mandarino, cantonese
Cipro,Nicosia,Greco, Turco
Citt‡† del Vaticano,Citt‡† del Vaticano (citt‡†-stato),Italiano
Colombia,Bogot‡°,Spagnolo
Comore,Moroni,Arabo, Comoriano, Francese
Repubblica del Congo,Brazzaville,Francese
Repubblica Democratica del Congo,Kinshasa,Francese
Corea del Nord,Pyongyang,Coreano
Corea del Sud,Seul,Coreano
Costa d'Avorio,Yamoussoukro,Francese
Costa Rica,San Jos‡©,Spagnolo
Croazia,Zagabria,Croato
Cuba,L'Avana,Spagnolo
Danimarca,Copenaghen,Danese
Dominica,Roseau,Inglese
Ecuador,Quito,Spagnolo
Egitto,Il Cairo,Arabo
El Salvador,San Salvador,Spagnolo
Emirati Arabi Uniti,Abu Dhabi,Arabo
Eritrea,Asmara,Arabo
Estonia,Tallinn,Estone
Etiopia,Addis Abeba,Amarico, Tigrino
Figi,Suva,Inglese, Figiano
Filippine,Manila,Filippino, Inglese
Finlandia,Helsinki,Finlandese, Svedese
Francia,Parigi,Francese
Gabon,Libreville,Francese
Gambia,Banjul,Inglese
Georgia,Tbilisi,Georgiano
Germania,Berlino,Tedesco
Ghana,Accra,Inglese
Giamaica,Kingston,Inglese
Giappone,Tokyo,Giapponese
Gibuti,Gibuti,Arabo, Francese
Giordania,Amman,Arabo
Grecia,Atene,Greco
