Paesi,Popolazione
Cina,1384689024
India,1296834048
Stati Uniti,329256480
Indonesia,262787408
Brasile,208846896
Pakistan,207862512
Nigeria,203452512
Bangladesh,159453008
Russia,142122784
Giappone,126168160
Messico,125959208
Etiopia,108386392
Filippine,105893384
Egitto,99413320
Vietnam,97040336
Congo (ex Zaire),85281024
Iran,83024744
Turchia,81257240
Germania,80457736
Thailandia,68615856
Francia,67364360
Gran Bretagna,65105248
Italia,62246672
Myanmar,55622504
Tanzania,55451344
Sudafrica,55380208
Corea del Sud,51418096
Spagna,49331076
Kenya,48397528
Colombia,48168996
Argentina,44694200
Ucraina,43952300
Sudan,43120844
Algeria,41657488
Uganda,40853748
Iraq,40194216
Polonia,38420688
Canada,35881660
Afghanistan,34940836
Marocco,34314128
Arabia Saudita,33091112
Malesia,31809660
Venezuela,31689176
Perù,31331228
Angola,30355880
Uzbekistan,30023708
Nepal,29717588
Yemen,28667230
Ghana,28102472
Mozambico,27233788
Costa d'Avorio,26260582
Madagascar,25683610
Camerun,25640964
Corea del Nord,25381084
Taiwan,23545964
Australia,23470144
Sri Lanka,22576592
Romania,21457116
Niger,19866232
Malawi,19842560
Burkina Faso,19742716
Siria,19454264
Kazakistan,18744548
Mali,18429892
Cile,17925262
Paesi Bassi,17151228
Guatemala,16581273
Ecuador,16498502
Cambogia,16449519
Zambia,16445079
Ciad,15833116
Senegal,15020945
Zimbabwe,14030368
Ruanda,12187400
Guinea,11855411
Burundi,11844520
Belgio,11570762
Tunisia,11516189
Benin,11340504
Bolivia,11306341
Somalia,11259029
Cuba,11116396
Haiti,10788440
Grecia,10761523
Repubblica ceca,10686269
Giordania,10458413
Portogallo,10355493
Repubblica dominicana,10298756
Azerbaigian,10046516
Svezia,10040995
Ungheria,9825704
Emirati arabi uniti,9701315
Bielorussia,9527543
Honduras,9182766
Austria,8793370
Tagikistan,8604882
Israele,8424904
Svizzera,8292809
Togo,8176449
Laos,7234171
Hong Kong,7213338
Serbia,7078110
Bulgaria,7057504
Papua Nuova Guinea,7027332
Paraguay,7025763
Libia,6754507
Sierra Leone,6312212
El Salvador,6187271
Libano,6100075
Nicaragua,6085213
Singapore,5995991
Eritrea,5970646
Kirghizistan,5849296
Danimarca,5809502
Repubblica Centrafricana,5745062
Finlandia,5537364
Slovacchia,5445040
Turkmenistan,5411012
Norvegia,5372191
Irlanda,5068050
Congo,5062021
Costa Rica,4987142
Liberia,4809768
Oman,4613241
Nuova Zelanda,4545627
Croazia,4270480
Georgia,3997000
Bosnia-Erzegovina,3849891
Mauritania,3840429
Panama,3800644
Moldavia,3437720
Uruguay,3369299
Portorico,3294626
Mongolia,3103428
Albania,3057220
Armenia,3038217
Kuwait,2916467
Giamaica,2812090
Lituania,2793284
Namibia,2533224
Qatar,2363569
Botswana,2249104
Gabon,2119036
Macedonia,2118945
Slovenia,2102126
Gambia,2092731
Lesotho,1962461
Lettonia,1923559
Guinea Bissau,1833247
Bahrein,1442659
Maurizio,1364283
Timor orientale,1321929
Estonia,1244288
Trinidad e Tobago,1215527
Swaziland,1087200
Figi,926276
Gibuti,884017
Comore,821164
Guinea Equatoriale,797457
Bhutan,766397
Guyana,740685
Isole Salomone,660121
Sahara occidentale,619551
Montenegro,614249
Macao,60634
Lussemburgo,605764
Suriname,597927
Capo Verde,568373
Brunei,450565
Malta,449043
Belize,385854
Islanda,343518
Bahamas,332634
Barbados,293131
Vanuatu,288037
Nuova Caledonia,282754
São Tomé e Príncipe,204454
Samoa,201316
Saint Lucia,16551
Grenada,112207
Kiribati,109367
Tonga,106398
Saint Vincent e Grenadine,101844
Antigua e Barbuda,95882
Seicelle,94633
Andorra,85708
Dominica,74027
Isole Cayman,59613
Groenlandia,57691
Saint Christopher e Nevis,53094
Liechtenstein,38547
San Marino,33779
Monaco,30727
Palau,21516
Tuvalu,11147
Nauru,9692
Isole Falkland,3198
Vaticano,1
